tenure,MonthlyCharges,TotalCharges,Contract_One year,Contract_Two year,Partner_Yes,Dependents_Yes,OnlineSecurity_Yes,TechSupport_Yes,PaperlessBilling_Yes,SeniorCitizen_1,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,OnlineBackup_Yes,DeviceProtection_Yes,InternetService_Fiber optic,InternetService_No,MultipleLines_Yes,StreamingTV_Yes,StreamingMovies_Yes,PhoneService_Yes,gender_Male,Churn
33,44.55,1462.6,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2,69.95,143.9,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False
9,85.05,746.5,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,True,False,True,True,True,True
18,50.0,892.7,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False
47,99.35,4749.15,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,True,True,True,True,True,True
39,25.45,958.45,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False
18,54.4,957.1,True,False,True,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False
3,50.25,152.3,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False
7,79.65,604.7,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,True
29,19.85,535.05,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False
38,20.1,730.1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False
60,99.65,5941.05,False,True,False,False,False,False,True,False,False,True,False,True,True,True,False,False,True,True,True,False,False
1,55.2,55.2,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True
72,83.6,5959.3,False,True,True,True,True,False,True,False,True,False,False,True,True,False,False,True,True,True,True,False,False
6,56.25,389.1,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True
48,44.8,2104.55,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False
22,57.95,1271.8,False,False,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,True,True,False
11,94.0,1078.9,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,True,True,True,False,True
37,20.3,755.4,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
5,80.7,374.8,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False
58,70.1,4048.95,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False
3,35.1,101.1,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
41,60.3,2511.3,True,False,True,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,True,True,False
10,95.35,898.35,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,True,True,True,True,True,True
38,69.95,2657.55,False,False,False,False,True,True,False,False,False,True,False,True,True,False,False,True,False,False,True,True,False
7,48.2,340.35,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False
23,20.9,454.0,False,True,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False
72,90.15,6716.45,False,True,True,True,True,True,True,True,False,False,False,True,True,False,False,True,True,True,True,False,False
7,75.45,480.75,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True
11,45.9,521.9,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False
71,24.85,1901.0,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,True,False
65,19.55,1218.65,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False
50,103.4,5236.4,True,False,True,True,False,True,True,False,False,False,False,True,True,True,False,False,True,True,True,True,False
1,40.2,40.2,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True
21,75.3,1570.7,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,True,False
20,108.2,2203.7,False,False,False,False,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,True,False
55,103.65,5676.65,False,False,True,False,False,False,True,False,True,False,False,True,True,True,False,True,True,True,True,False,False
7,69.15,488.65,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False
1,69.1,69.1,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True
68,84.7,5711.05,False,True,True,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False
19,103.3,2012.7,False,False,True,True,False,True,False,False,False,True,False,False,True,True,False,True,True,True,True,True,True
70,104.3,7188.5,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,True,True,True,True,False,False
72,116.4,8543.25,False,True,True,True,True,True,True,False,True,False,False,True,True,True,False,True,True,True,True,False,False
61,61.45,3751.15,False,True,True,True,False,True,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False
47,74.05,3496.3,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,True,True,False,False
15,56.15,931.9,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
23,84.4,1936.85,False,False,True,True,True,True,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False
1,89.55,89.55,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,True,True,True
45,81.3,3541.1,False,False,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,False,True,False,False
45,112.2,5031.85,True,False,False,False,True,True,False,False,True,False,False,True,True,True,False,False,True,True,True,True,False
61,68.05,4158.25,False,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,True,True,False
68,60.3,4109.0,False,True,True,True,False,True,False,False,True,False,False,True,True,False,False,False,True,True,False,False,False
49,39.2,1838.15,False,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False
48,60.6,2985.25,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
28,59.9,1654.7,True,False,False,False,True,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False
60,61.4,3638.25,False,True,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,False,True,True,False
1,50.1,50.1,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True
13,81.9,1028.9,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False
68,88.85,6132.7,False,True,True,True,True,True,True,False,True,False,False,True,True,False,False,True,True,True,True,True,False
64,104.65,6889.8,True,False,False,False,False,True,True,False,True,False,False,False,True,True,False,True,True,True,True,True,False
72,107.4,7748.75,False,True,False,False,True,True,True,True,False,False,False,True,True,True,False,True,False,True,True,False,False
53,91.15,4862.5,True,False,True,False,False,True,True,False,False,True,False,False,False,True,False,True,False,True,True,False,False
72,86.6,6350.5,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,True,True,True,False,False
46,110.0,4874.8,True,False,False,False,True,False,True,True,False,True,False,True,True,True,False,True,True,True,True,False,True
9,94.75,889.9,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,True,True,True,False,True
28,54.35,1426.45,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
3,20.85,72.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
20,19.5,413.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
12,105.3,1275.65,False,False,False,True,False,False,True,False,False,True,False,True,True,True,False,True,True,True,True,False,False
50,114.35,5791.1,True,False,False,False,True,True,False,False,True,False,False,True,True,True,False,True,True,True,True,True,False
30,94.3,2679.7,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,True,True,False
3,73.85,196.4,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False
4,74.95,308.7,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,True,True
40,63.9,2635.0,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False
19,95.15,1789.25,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True
1,69.2,69.2,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True
1,70.3,70.3,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True
30,79.3,2427.1,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,True,True,True,False,False
42,48.15,2032.3,False,True,True,True,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False
59,86.75,5186.0,False,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False,True,True,True,True,False
39,40.6,1494.5,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False
4,70.2,237.95,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,True,True
3,95.2,292.85,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,True,True,True,False,True
41,78.45,3126.45,False,True,True,True,True,True,False,False,False,True,False,True,False,False,False,False,True,True,True,False,False
50,80.05,4042.2,True,False,True,True,True,True,True,False,False,False,False,True,True,False,False,True,False,True,True,False,False
53,111.8,5809.75,True,False,True,False,False,True,True,False,False,False,False,True,True,True,False,True,True,True,True,False,False
29,20.0,599.3,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
3,19.6,59.75,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True
16,19.75,313.4,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False
5,75.65,399.45,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False
2,19.6,35.85,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True
35,19.9,666.0,True,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False
37,100.05,3810.55,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,True,True,True,True,False,False
23,55.8,1327.85,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False
72,115.05,8405.0,False,True,False,False,True,True,False,False,True,False,False,True,True,True,False,True,True,True,True,False,False
1,43.85,43.85,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False
20,68.9,1370.35,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False,True,True,False,False
23,79.1,1783.75,False,False,False,False,False,True,True,False,False,False,True,True,False,True,False,False,False,False,True,False,False
17,19.65,351.55,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False
70,75.35,5437.75,False,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False
7,81.25,580.1,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False
22,39.2,849.9,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
4,20.85,62.9,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
16,20.1,318.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
70,25.4,1782.05,False,True,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,True,False
71,83.2,6126.1,False,True,True,False,True,True,False,False,False,True,False,False,True,False,False,True,True,True,True,True,False
36,53.65,1939.35,True,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False
28,56.05,1522.65,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
1,71.65,71.65,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,True,True,True
27,78.2,2078.95,True,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,True,True,True,False,False
65,20.4,1414.45,False,True,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False
56,110.5,6139.5,True,False,False,False,True,False,False,True,False,True,False,True,True,True,False,True,True,True,True,False,False
28,20.5,563.05,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
9,84.4,732.5,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,True,False,True,True,True,True
5,51.0,305.95,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,True,True
19,20.2,382.2,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
50,79.6,4024.2,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,True,True,False,False
1,19.55,19.55,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False
13,43.8,592.65,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
15,69.5,1071.4,False,False,True,True,False,True,True,False,False,False,True,True,True,False,False,False,False,True,True,True,False
7,34.65,246.6,False,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
67,94.65,6079.0,False,False,True,False,False,False,True,True,True,False,False,False,False,True,False,True,True,True,True,True,False
1,69.9,69.9,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False
31,86.55,2697.4,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,True,False,True,False,True
72,114.5,8331.95,False,True,True,False,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,False
12,75.85,854.45,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,True,True,True,False,False
58,103.25,6017.65,True,False,False,False,False,False,True,False,False,False,False,True,True,True,False,True,True,True,True,True,True
44,19.55,819.95,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False
65,107.45,7047.5,True,False,True,True,False,False,True,True,False,True,False,True,True,True,False,True,True,True,True,False,False
20,61.6,1174.35,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,True,True,False,True
65,108.8,7082.45,False,False,True,False,False,False,True,True,False,False,False,True,True,True,False,True,True,True,True,False,False
25,61.6,1611.0,True,False,True,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,True,True,False
1,19.4,19.4,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,True
42,25.25,1108.2,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
2,19.25,48.35,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False
62,71.4,4487.3,True,False,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,True,False
13,18.8,251.25,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
24,19.55,470.2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
27,80.85,2204.35,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,True,True,True,True,True,False
3,58.7,168.6,False,False,True,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False
61,75.35,4729.3,False,True,True,False,True,True,False,False,True,False,False,False,True,False,False,True,False,True,True,True,False
8,60.0,487.75,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False
30,106.4,3211.9,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False
72,83.7,6096.9,False,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,True,True,True,False,False
52,39.9,2020.9,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False
40,91.55,3673.6,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,True,True,True,False,False
1,44.55,44.55,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
51,34.2,1782.0,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,69.75,3557.7,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
61,94.2,5895.45,False,False,True,False,True,True,True,True,True,False,False,True,True,True,False,True,False,False,True,False,False
68,101.35,7110.75,True,False,False,False,True,False,False,False,False,False,False,True,True,True,False,True,True,False,True,True,False
64,97.0,6430.9,True,False,True,False,True,False,False,True,False,False,False,True,True,True,False,False,False,True,True,False,False
60,60.2,3582.4,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,True,True,False,True,False
65,69.55,4459.15,False,True,True,True,True,False,True,False,False,False,True,True,False,False,False,True,False,True,True,True,False
14,81.95,1181.75,False,True,True,False,False,True,False,False,False,False,True,True,True,False,False,False,True,True,True,True,False
2,93.85,170.85,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,True,True,True,True,False,True
9,80.8,713.1,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,True,True
67,53.4,3579.15,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False
29,100.55,2830.45,True,False,False,True,False,True,False,False,True,False,False,True,True,True,False,True,False,True,True,True,False
11,84.8,888.75,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,True,True,False
16,91.55,1540.05,False,False,True,False,False,True,True,True,False,True,False,False,True,True,False,False,False,True,True,True,False
67,111.25,7511.65,True,False,True,False,True,True,True,False,False,True,False,False,True,True,False,True,True,True,True,False,False
55,90.15,4916.95,True,False,True,False,True,True,True,False,False,True,False,True,True,False,False,True,True,True,True,False,False
45,34.2,1596.6,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
48,70.55,3420.5,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,False
61,80.8,4860.85,False,True,True,False,True,True,True,False,False,False,False,True,True,False,False,True,False,True,True,True,False
1,70.45,70.45,False,False,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,True,True,True,False
26,78.95,2034.25,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False
9,73.8,704.3,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,True,False
70,110.2,7689.8,False,True,True,True,False,True,True,False,False,True,False,True,True,True,False,True,True,True,True,False,False
42,94.45,3923.8,True,False,True,True,True,False,True,False,True,False,False,True,False,True,False,True,True,False,True,False,False
38,69.0,2669.45,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,True,True,False
13,29.15,357.15,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
27,74.4,1972.35,False,False,True,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
9,72.9,651.4,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True,True,True,False,True
65,100.75,6674.65,True,False,True,False,True,False,True,True,False,True,False,False,False,True,False,True,True,True,True,True,False
72,24.45,1709.1,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False
27,52.85,1498.65,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
43,25.7,1188.2,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False
40,55.25,2139.2,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,True,True
66,90.95,5930.05,False,True,False,True,True,True,True,False,True,False,False,False,True,True,False,True,False,False,True,False,False
7,94.25,669.0,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,True,True,True,True
23,90.15,2044.95,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,True,True,False,False
72,94.65,6747.35,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,True,True,True,True,False
23,81.85,1810.85,True,False,True,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
31,25.0,789.2,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
72,114.45,8100.55,False,True,True,True,True,True,False,False,False,False,False,True,True,True,False,True,True,True,True,True,False
8,19.5,159.35,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
25,25.3,676.35,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True
1,69.55,69.55,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,True,True
4,101.15,385.9,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,True,True,True,True,True,True
26,19.3,504.2,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,True,False
50,20.35,938.95,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False
41,20.0,810.3,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
62,89.1,5618.3,False,False,True,False,True,False,True,True,False,True,False,True,True,True,False,True,False,False,True,True,False
39,106.4,4040.65,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,True,True,True,True,False
1,83.4,83.4,False,False,False,False,True,True,True,False,False,False,True,True,False,True,False,False,False,False,True,False,False
10,98.5,1058.25,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,True,True,True,True,False,True
21,41.9,840.1,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True
2,20.3,41.2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
58,24.5,1497.9,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False
54,18.95,1031.1,False,True,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False
17,19.55,280.85,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
71,23.95,1756.2,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,True,False
41,86.2,3339.05,True,False,True,False,False,True,True,False,False,False,False,True,True,True,False,False,False,False,True,False,False
57,100.75,5985.0,True,False,True,False,False,False,True,False,True,False,False,False,True,True,False,True,True,True,True,False,False
33,103.7,3467.0,True,False,True,True,True,False,True,False,False,False,True,False,True,True,False,True,True,True,True,False,True
6,50.35,314.55,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
6,20.7,112.75,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
5,50.6,249.95,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True
40,20.15,804.85,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
59,41.05,2452.7,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True
22,83.3,1845.9,False,False,True,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,True,False,True
23,55.3,1284.2,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False
72,97.85,6841.3,False,True,True,False,False,False,True,False,False,True,False,False,True,True,False,True,True,True,True,False,False
2,42.6,72.4,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True
1,33.6,33.6,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
12,44.55,480.6,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True
